@relation 'keeldataset-weka.filters.supervised.attribute.AddClassification-classification-Wweka.classifiers.trees.J48 -C 0.25 -M 2'

@attribute cap-shape {x,b,s,f,k,c}
@attribute cap-surface {s,y,f,g}
@attribute cap-color {n,y,w,g,e,p,b,u,c,r}
@attribute bruises {t,f}
@attribute odor {p,a,l,n,f,c,y,s,m}
@attribute gill-attachment {f,a}
@attribute gill-spacing {c,w}
@attribute gill-size {n,b}
@attribute gill-color {k,n,g,p,w,h,u,e,b,r,y,o}
@attribute stalk-shape {e,t}
@attribute stalk-root {e,c,b,r}
@attribute stalk-surface-above-ring {s,f,k,y}
@attribute stalk-surface-below-ring {s,f,y,k}
@attribute stalk-color-above-ring {w,g,p,n,b,e,o,c,y}
@attribute stalk-color-below-ring {w,p,g,b,n,e,y,o,c}
@attribute veil-type {p}
@attribute veil-color {w,n,o,y}
@attribute ring-number {o,t,n}
@attribute ring-type {p,e,l,f,n}
@attribute spore-print-color {k,n,u,h,w,r,o,y,b}
@attribute population {s,n,a,v,y,c}
@attribute habitat {u,g,m,d,p,w,l}
@attribute verdict {p,e}
@attribute classification {p,e}

@data
f,f,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g,e,e
f,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g,p,p
x,s,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g,e,e
x,f,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,e,e
x,f,e,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,v,d,e,e
f,f,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,e,e
x,f,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,e,e
f,s,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,e,e
f,f,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,e,e
f,s,y,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
f,f,w,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
f,f,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g,e,e
x,f,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d,e,e
x,y,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,d,e,e
x,f,n,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,d,e,e
x,f,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g,e,e
x,f,g,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d,e,e
x,f,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,d,e,e
x,f,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,e,e
x,f,n,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,d,e,e
x,s,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,e,e
b,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e,e
x,y,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d,e,e
f,s,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g,e,e
x,f,e,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d,e,e
f,y,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d,e,e
x,y,g,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,v,d,e,e
x,s,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,e,e
x,s,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g,e,e
x,f,g,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,e,e
x,s,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,a,g,e,e
x,y,e,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,d,e,e
f,f,g,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,y,d,e,e
f,f,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d,e,e
x,f,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,e,e
f,s,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g,e,e
x,f,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,e,e
x,y,y,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,p,e,e
x,f,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d,e,e
x,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,e,e
x,y,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d,e,e
f,f,g,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d,e,e
x,f,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,e,e
x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e,e
x,s,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g,e,e
f,s,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,e,e
f,f,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,v,d,e,e
f,f,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,e,e
x,f,g,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,v,d,e,e
x,f,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d,e,e
x,f,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g,e,e
x,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,e,e
f,s,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g,e,e
f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g,p,p
f,f,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,e,e
x,f,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d,e,e
x,f,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g,e,e
x,y,n,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,v,d,e,e
x,y,e,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,d,e,e
f,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u,p,p
f,s,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,e,e
x,f,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d,e,e
f,f,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,d,e,e
x,f,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,v,d,e,e
x,f,g,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,d,e,e
x,f,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,y,d,e,e
x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,p,p
x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m,e,e
x,f,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d,e,e
f,y,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,y,d,e,e
x,s,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g,e,e
x,y,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,y,d,e,e
x,f,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,e,e
f,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,e,e
x,f,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d,e,e
f,f,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d,e,e
f,f,g,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,e,e
f,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,e,e
f,f,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,e,e
x,f,g,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d,e,e
x,f,e,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,y,d,e,e
f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u,p,p
x,y,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d,e,e
x,s,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,e,e
b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e,e
x,s,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,e,e
f,f,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,e,e
x,y,g,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d,e,e
f,f,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
x,f,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,e,e
x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g,p,p
x,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,e,e
x,y,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d,e,e
f,f,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
x,y,n,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,v,d,e,e
x,f,e,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,y,d,e,e
f,f,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,y,d,e,e
x,f,e,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,y,d,e,e
f,f,n,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
x,y,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,y,d,e,e
x,f,g,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,v,d,e,e
f,f,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,v,d,e,e
x,f,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d,e,e
x,y,e,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,v,d,e,e
x,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g,p,p
x,f,e,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d,e,e
x,y,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,v,d,e,e
x,f,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,y,d,e,e
x,y,e,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,y,d,e,e
x,y,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,v,d,e,e
x,f,g,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,d,e,e
x,y,g,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,v,d,e,e
x,f,e,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,d,e,e
f,y,e,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,y,d,e,e
f,f,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d,e,e
x,f,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d,e,e
f,y,g,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d,e,e
x,y,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,v,d,e,e
x,f,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,y,d,e,e
x,y,g,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,v,d,e,e
x,f,g,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,g,p,p
f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g,p,p
x,f,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,v,d,e,e
x,f,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g,e,e
x,y,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,v,d,e,e
f,f,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,y,d,e,e
x,f,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,v,d,e,e
x,y,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,y,d,e,e
x,y,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d,e,e
x,f,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d,e,e
x,y,n,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,y,d,e,e
x,f,g,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,y,d,e,e
x,f,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,v,d,e,e
x,y,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,v,d,e,e
x,y,n,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,d,e,e
x,y,e,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d,e,e
f,y,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d,e,e
f,y,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,v,d,e,e
x,y,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d,e,e
f,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,p,p
f,f,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d,e,e
x,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g,p,p
x,f,e,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,y,d,e,e
f,f,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d,e,e
x,y,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,v,d,e,e
f,f,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d,e,e
x,f,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,y,d,e,e
x,f,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d,e,e
x,y,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,y,d,e,e
f,f,n,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,v,d,e,e
f,f,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,d,e,e
x,f,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,v,d,e,e
x,f,n,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d,e,e
x,f,e,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,y,d,e,e
f,f,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d,e,e
x,y,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,y,d,e,e
f,f,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,y,d,e,e
x,f,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d,e,e
x,y,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,y,d,e,e
x,f,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,y,d,e,e
x,y,g,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,y,d,e,e
x,y,e,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,d,e,e
x,y,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d,e,e
x,f,g,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d,e,e
f,f,g,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d,e,e
x,y,g,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d,e,e
x,y,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,y,d,e,e
f,f,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d,e,e
f,f,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,d,e,e
x,y,e,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
x,f,g,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,d,p,p
x,y,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,y,d,e,e
x,f,e,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,d,e,e
x,y,n,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,v,d,e,e
f,f,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,y,d,e,e
x,y,e,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,d,e,e
f,f,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d,e,e
f,y,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d,e,e
f,f,g,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,y,d,e,e
x,f,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d,e,e
x,f,g,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,d,e,e
x,f,g,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,v,d,e,e
x,f,n,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,v,d,e,e
x,f,g,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,y,d,e,e
x,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,e,e
x,y,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,y,d,e,e
f,f,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,y,d,e,e
x,y,e,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,v,d,e,e
f,f,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,v,d,e,e
x,f,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,y,d,e,e
x,f,g,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d,e,e
f,f,g,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,y,d,e,e
x,s,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g,e,e
x,f,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,d,e,e
f,f,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d,e,e
f,f,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d,e,e
x,y,g,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,y,d,e,e
x,f,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
x,y,e,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,v,d,e,e
x,f,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,y,d,e,e
f,y,g,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,y,d,e,e
x,y,g,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,d,e,e
x,s,p,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,n,s,d,p,p
x,y,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,y,d,e,e
f,f,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,v,d,e,e
x,y,e,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,y,d,e,e
f,f,n,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d,e,e
x,y,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d,e,e
x,f,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,d,e,e
f,f,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,v,d,e,e
x,y,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,v,d,e,e
x,y,n,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,v,d,e,e
x,f,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,v,d,e,e
f,f,g,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d,e,e
x,y,e,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
x,y,e,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,v,d,e,e
f,f,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,d,e,e
x,f,e,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d,e,e
x,f,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,y,d,e,e
x,f,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,e,e
x,y,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d,e,e
x,f,e,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,v,d,e,e
x,y,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d,e,e
x,f,e,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,v,d,e,e
x,f,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,d,e,e
f,y,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d,e,e
f,y,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,d,e,e
x,y,e,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,y,d,e,e
x,y,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d,e,e
f,f,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,e,e
x,f,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p,p,p
x,f,e,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d,e,e
x,y,e,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,y,d,e,e
f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g,p,p
f,y,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,y,d,e,e
x,f,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d,e,e
x,y,e,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,v,d,e,e
x,f,g,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d,e,e
x,y,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d,e,e
x,f,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,a,g,e,e
x,f,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,y,d,e,e
f,f,e,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,y,d,e,e
x,y,g,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,y,d,e,e
f,f,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,y,d,e,e
f,f,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,e,e
f,f,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d,e,e
x,y,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,v,d,e,e
f,f,g,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,y,d,e,e
f,y,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d,e,e
x,f,g,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,v,d,e,e
x,y,e,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d,e,e
x,y,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d,e,e
f,s,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g,e,e
x,f,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,d,e,e
f,f,n,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d,e,e
x,y,e,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,d,e,e
x,y,e,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,y,d,e,e
x,y,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d,e,e
f,s,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,e,e
x,y,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,v,d,e,e
x,y,e,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,y,d,e,e
x,f,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,d,e,e
f,f,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d,e,e
f,f,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,e,e
f,f,g,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,v,d,e,e
x,y,e,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,d,e,e
f,f,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,v,d,e,e
x,y,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,y,d,e,e
x,f,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,y,d,e,e
x,f,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,y,d,e,e
x,f,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
f,f,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d,e,e
x,f,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,y,d,e,e
x,y,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d,e,e
x,f,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d,e,e
f,f,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d,e,e
x,y,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,y,d,e,e
x,s,p,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,k,v,d,p,p
f,y,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,d,e,e
